reviewerName,expertiseAreas
Qionghong Xie,"booster dose, booster (rocketry), hepatitis b, particle (ecology)"
M. Khafaei,"booster dose, booster (rocketry), hepatitis b"
Laura Cato,"booster dose, booster (rocketry), hepatitis b"
N. Loman,"spermatid, spermiogenesis"
M. Digilio,"spermatid, arbuscular mycorrhizal fungi, spermiogenesis"
A. Kawakami,"spermatid, spermiogenesis, descending aorta, body surface area, hek 293 cells"
I. Rodero,"ranking svm, k-svd, neural coding, learning to rank"
Waqas Sultani,"ranking svm, k-svd, neural coding, learning to rank"
A. Ślipiński,"viral myocarditis, fulminant, pneumonitis, myopericarditis"
Qiujin Zhang,"viral myocarditis, fulminant, pneumonitis, myopericarditis"
D. Kokh,"stochastic petri net, reliability block diagram, squash, similarity (geometry), cyber-physical system, building automation, downtime"
Shengzhi Xu,"stochastic petri net, reliability block diagram, data integrity, data sharing, big data, cyber-physical system, building automation, downtime"
E. Petruccioli,severance
M. Abbas,"severance, aptamer"
Xiao Li,"eight-point algorithm, carvone, gaussian elimination, thiadiazoles, matrix (chemical analysis), leverage (statistics), low-rank approximation, rank (graph theory), matrix completion, basis (linear algebra), docking (animal), diastereomer"
H. Soliman,"eight-point algorithm, gaussian elimination, matrix (chemical analysis), spark (programming language), data pre-processing, low-rank approximation, rank (graph theory), matrix completion, basis (linear algebra), raster data"
F. Azam,"hypertext, torrent file, file size, document clustering, smart device, imputation (statistics), distributed file system, implementation, chatbot, hierarchical clustering, private information retrieval, trie"
R. V. D. Tol,"hypertext, access structure, security policy, document clustering, data sharing, plain text, data access, implementation, hierarchical clustering, bloom filter, private information retrieval"
Peijia Zheng,"hypertext, document clustering, implementation, hierarchical clustering, private information retrieval"
D. Sun,"cyclopentanone, moiety, mtt assay, ic50"
Yizhuo Liu,"cyclopentanone, moiety, replication, mtt assay, ic50"
Zheng Tong,"cyclopentanone, scarcity, delay discounting, moiety, mtt assay, ic50"
M. Weedon,"bycatch, genomic"
Gabor T. Marth,"bycatch, lactoferrin, genomic, disease, clinical nutrition, isoleucine"
E. Turro,"folfox, pandemic, betacoronavirus, pathogenesis, coronavirus, 2019-20 coronavirus outbreak, regorafenib, regimen, lenvatinib"
G. Campbell‐Salome,"folfox, regorafenib, regimen, lenvatinib"
R. Garry,"saccharin, genomic, disease, exome, rebaudioside a, rare disease"
S. Viz-Lasheras,"saccharin, rebaudioside a"
Kathleen-Rose Zakoor,"target protein, protein purification, scope (computer science), protein engineering, biocompatible material"
A. Fernie,"target protein, swot analysis, protein purification, scope (computer science), personalized medicine, pharmacogenomics, health, protein engineering, biocompatible material"
Yunpeng Cai,"single-board computer, molecularly imprinted polymer, raspberry pi, molecular imprinting, rational design"
Chuangbai Xiao,"single-board computer, raspberry pi"
J. Arshad,"single-board computer, raspberry pi"
A. Caamaño,"action selection, kernel (algebra), regularization"
N. H. Sultan,"action selection, sociotechnical system, identification, popularity, leverage (statistics), kernel (algebra), regularization"
Somalee Datta,"action selection, genomic, big data, leverage (statistics), benchmark (surveying), mining, pharmacogenomics, kernel (algebra), regularization"
H. M. El-Husseiny,"growth velocity, cereus, spore germination"
Betty S. Pio,growth velocity
Jinghan Song,growth velocity
Guoxiang Lai,"corynebacterium, sigma factor, genomic, boosting, diagnosis, brain tumor, corynebacterium glutamicum, regulon"
Quanhai Pang,"corynebacterium, sigma factor, corynebacterium glutamicum, regulon"
A. Góes-Neto,"basophilia, leukocytosis, monocytosis, neutrophilia, myeloproliferative neoplasm, diagnosis, milking, chronic myelomonocytic leukemia, health, genome, proinflammatory cytokine, gossypium"
L. Harewood,"basophilia, leukocytosis, monocytosis, neutrophilia, myeloproliferative neoplasm, recrystallization (geology), diagnosis, chronic myelomonocytic leukemia"
J. Bian,"microclimate, mean radiant temperature, temporal resolution, multilayer perceptron, disease, molecularly imprinted polymer, molecular imprinting, health"
N. Birch,"microclimate, mean radiant temperature, skyline, temporal resolution, multilayer perceptron"
L. Azevedo,"logic model, data deduplication, identification, data set, genomic, big data, relevance, indexing"
Xiaoli Feng,"logic model, identification, genomic, relevance, case fatality rate"
G. Mahuku,"logic model, identification, genomic, relevance, pace"
M. Bernardi,"superior frontal gyrus, inferior frontal gyrus, middle frontal gyrus, supplementary motor area, feature (linguistics), behavioral addiction, information sensitivity, alcohol use disorder, differential privacy, orbitofrontal cortex, private information retrieval, intertemporal choice, autoencoder"
M. Westenberg,"superior frontal gyrus, inferior frontal gyrus, middle frontal gyrus, supplementary motor area, behavioral addiction, intrahepatic cholangiocarcinoma, alcohol use disorder, orbitofrontal cortex, intertemporal choice"
Xiang Zhou,"rutile, blueshift, template"
P. Munuswamy,"rutile, blueshift, template"
R. Cirilli,"rutile, blueshift, template"
F. Papaccio,"pieris brassicae, hypersensitive response"
D. Oglesbee,"pieris brassicae, genomic, hypersensitive response, digital health, telehealth"
Jun Wang,"liver regeneration, undifferentiated pleomorphic sarcoma, liver disease, cpg site, nomogram, biomarker discovery"
F. Nastri,"liver regeneration, liver disease, biomarker discovery"
I. Cromwell,"cryotherapy, disease"
S. Salter,"cryotherapy, disease"
Guishuang Li,"cryotherapy, disease"
Kimberly Leblanc,"electronegativity, fluorine, spirulina (dietary supplement), laminarin, fucoidan, heteroatom, big data, bioplastic, nanomaterials, data type"
Jeffrey Gassen,"electronegativity, fluorine, heteroatom, nanomaterials"
Jiao Du,"spermatozoon, trpv4, osmotic concentration, homeostasis"
Chunmei He,"spermatozoon, trpv4, osmotic concentration, biomolecule, homeostasis, nanoclusters"
Rui Qing,"spermatozoon, trpv4, osmotic concentration, normalization, multiclass classification, binary classification, computer-aided diagnosis, homeostasis"
Abdulmonem A. Alsaleh,"metastasis suppressor, tramp"
M. Cabanillas-Carbonell,"metastasis suppressor, tramp, disease, emerging technologies, emerging infectious disease, disease surveillance"
Hui Liu,"metastasis suppressor, tramp"
Yu Wang,"economic cost, genomic, health, lineage (genetic)"
Z. Almohawes,"economic cost, genomic, health"
B. Selmi,"research object, big data"
Mounir Hamdi,"research object, big data, mining, association (psychology), argumentative"
K. Sharma,"research object, big data"
Onyeka S. Chukwudozie,"stipe (mycology), fructification, pileus, edible mushroom, germ plasm, pleurotus"
Kun Zhang,"stipe (mycology), fructification, pileus, edible mushroom, germ plasm, pleurotus"
Lubin Ni,"stipe (mycology), fructification, pileus, edible mushroom, germ plasm, pleurotus"
M. McGilchrist,"recombinant virus, picornaviridae, viral evolution, rna virus"
Liliana Fernandez,"recombinant virus, picornaviridae, healthcare system, identification, swift, pandemic, 2019-20 coronavirus outbreak, viral evolution, rna virus"
D. Debouck,"immunosuppressive drug, clinical toxicology, therapeutic drug monitoring, clinical practice"
Scott M. Grayson,"immunosuppressive drug, clinical toxicology, therapeutic drug monitoring, clinical practice"
G. Sorci,"dermorphin, lipophilicity, frog skin"
G. Willemsen,"dermorphin, lipophilicity, frog skin"
P. Chakraborty,"molecular beacon, hybridization probe, horseradish peroxidase, bovine serum albumin, presentation (obstetrics), nuclease"
Seungchan Cho,"molecular beacon, hybridization probe, data processing, sensor fusion, data analysis, horseradish peroxidase, data aggregator, bovine serum albumin, nuclease, smart objects"
Deqing Zhai,"basketball, perplexity, zero (linguistics), tracking (education)"
Paul L. Rosin,"basketball, tracking (education)"
J. Curran,"brønsted–lowry acid–base theory, tertiary alcohols, functional group, scope (computer science), reaction conditions, reductive elimination"
J. Galy,"brønsted–lowry acid–base theory, tertiary alcohols, functional group, scope (computer science), reaction conditions, reductive elimination"
Reem A. Alassaf,"brønsted–lowry acid–base theory, tertiary alcohols, functional group, scope (computer science), reaction conditions, reductive elimination, univariate, nomogram"
Piero Carninci,"supine position, cardiac cycle, disease, sclerotinia sclerotiorum"
M. Park,"supine position, cardiac cycle"
X. Conlan,"supine position, infralimbic cortex, cardiac cycle, 3d printed, history of medicine, bespoke, personalized medicine, neuroradiology, philosophy of medicine, blueprint"
Ya-Zhou Zhang,"intermedia, disease, cichlid, personalized medicine, genome-wide association study, cell type, pars intermedia, atherosclerotic cardiovascular disease"
Hisham Alasmary,"intermedia, cichlid, cell type, pars intermedia"
P. Gourdy,"intermedia, cichlid, cell type, pars intermedia"
Zhicheng Dou,"revocation list, revocation, mobile edge computing, certificate, computation offloading"
S. Tripathy,"revocation list, cost allocation, fleet management, heuristics, revocation, certificate"
Huili Chen,"revocation list, autocorrelation technique, revocation, certificate"
M. Elbadawy,"genetic similarity, founder effect, leverage (statistics)"
Cecilia Mascolo,"genetic similarity, visual inspection, founder effect, disease, diagnosis, leverage (statistics), gold standard (test), health"
D. I. Morís,"genetic similarity, insertion time, movielens, real-time database, matrix (chemical analysis), schema (genetic algorithms), founder effect, big data, leverage (statistics), differential privacy"
H. Yahiro,biological classification
Shilong Zhao,biological classification
T. Trappenberg,"peroxisome proliferator, solid phase extraction, data sharing, molecularly imprinted polymer, divergence (linguistics), molecular imprinting, molecular, precipitation polymerization, demographics, population stratification, ethylene glycol dimethacrylate, polygenic risk score, risk stratification"
Andreas Herrmann,"peroxisome proliferator, divergence (linguistics)"
Jing Xing,"psychoticism, association (psychology)"
D. Schofield,"psychoticism, databases, pandemic, association (psychology)"
Yong-Ping Jian,"sharpening, surgical planning, optic radiation, nucleobase, pandemic, 2019-20 coronavirus outbreak, epidemiological surveillance, molecular epidemiology"
T. Hoffmann,"sharpening, amelogenesis, surgical planning, optic radiation, amelogenesis imperfecta, disease, tooth disease"
Mohsen Hemmati-Dinarvand,pyrazinamide
F. Swieringa,pyrazinamide
Jia-You Fang,"sodium dodecylbenzenesulfonate, ammonium bromide"
M. Kołaczkowski,"sodium dodecylbenzenesulfonate, conceptual graph, ammonium bromide, conceptual design, acronym, representation, conceptual framework, conceptual model, pyramid (geometry)"
E. Schapkaitz,"sodium dodecylbenzenesulfonate, ammonium bromide"
R. Higgs,"autonomous system (mathematics), cockpit, differential privacy"
Chuntian Wang,"autonomous system (mathematics), cockpit, zero (linguistics)"
Mfowabo Maphosa,"autonomous system (mathematics), cockpit, mining"
Zilu Zhou,microcosm
W. Faucett,microcosm
C. Seah,"microcosm, raphanus, identification, clubroot"
C. Chiang,"prediabetes, diagnosis, diabetic ketoacidosis, health, worry, genetic predisposition, cancer screening, hnf1a"
I. Surakka,"prediabetes, diagnosis, diabetic ketoacidosis, hnf1a"
R. Michaelson-Cohen,"prediabetes, diagnosis, diabetic ketoacidosis, expression (computer science), rna-seq, hnf1a"
C. Jiménez,"flux balance analysis, representation, metabolic pathway, gene regulatory network"
Xueqiang Jiang,"flux balance analysis, enterprise life cycle, representation, enterprise system, enterprise data management, component (thermodynamics), metabolic pathway, upgrade, gene regulatory network"
F. High,"flux balance analysis, representation, metabolic pathway, gene regulatory network"
C. Mak,"quarter (canadian coin), bovine milk"
Yu Fang,"quarter (canadian coin), farnesoid x receptor, malate synthase, bovine milk, pathogenesis, liver x receptor, molecular mass, metabolic pathway"
S. S. Patel,"quarter (canadian coin), bovine milk"
A. Sboner,"winter wheat, mhealth, doubled haploidy, digitization, health, digital health"
Sarath Babu Krishna Murthy,"winter wheat, zerovalent iron, doubled haploidy"
Jaewoong Lee,"winter wheat, doubled haploidy"
Nilay Bereli,"oxamniquine, schistosoma, tropical disease, disease, health"
S. Kim,"oxamniquine, schistosoma, tropical disease"
Yiguo Wang,"oxamniquine, schistosoma, tropical disease"
Miao Wang,"lift (data mining), univariate, hyperparameter, ensemble forecasting"
E. Laconi,"lift (data mining), univariate, hyperparameter, ensemble forecasting"
Yegeng Fan,"aryl halide, raney nickel, transfer hydrogenation, synthesis, amide"
S. K. Patel,"aryl halide, raney nickel, transfer hydrogenation, synthesis, amide"
Corina Kohler,"aryl halide, raney nickel, transfer hydrogenation, sensor fusion, synthesis, amide"
E. Borg,"amelogenesis, amelogenesis imperfecta, disease, tooth disease"
John Kennedy,"topology optimization, momentum (technical analysis)"
Leslie Shing,"topology optimization, momentum (technical analysis), plaintext-aware encryption, plain text, encryption, edge device"
H. Franke,"demand chain, data sharing, promotion (chess), transformative learning, mobile phone, consumption"
S. Karthikeyan,"demand chain, promotion (chess), mobile phone, consumption"
A. Andreychenko,"hibiscus sabdariffa, identification, separation (statistics), exome, chromatographic separation"
Neeru Gandotra,"hibiscus sabdariffa, identification"
Maiko Kusano,"hibiscus sabdariffa, identification"
A. Nonclercq,"speckle tracking echocardiography, transthoracic echocardiogram, modalities"
H. Wu,"speckle tracking echocardiography, transthoracic echocardiogram, modalities"
Jun Jiang,"prom, system call, control flow, pace, code (set theory), information leakage"
G. R. Queiroz,"prom, system call, control flow, resilience, robustness, information leakage"
E. Nepovimova,"sexual life, reality therapy, marital therapy, sex therapy"
Lijun Cai,"sexual life, reality therapy, marital therapy, sex therapy, macromonomer, electrospinning"
M. Storey,"mosquito control, health, one health, zika virus, disease control, catabolism, isoleucine"
Min Wang,"mosquito control, health, one health, zika virus, disease control"
P. Ulvskov,"mosquito control, health, one health, zika virus, disease control"
S. Rafi,"radionuclide therapy, radioligand, vascular wall, vascular tissue, small gtpase, secondary cell wall, glutamate carboxypeptidase ii, brain tumor, biodistribution"
Atika Khurana,"radionuclide therapy, radioligand, glutamate carboxypeptidase ii, biodistribution"
I. F. Rosa,"daptomycin, surfactin, lipopeptide"
Wanbo Li,"daptomycin, surfactin, acinetobacter baumannii, lipopeptide"
T. Shirono,"daptomycin, dihedral angle, heteronuclear molecule, surfactin, structural motif, lipopeptide, residue (chemistry)"
E. Bignotti,"dc-sign, oligopeptide, c-type lectin"
D. Olstad,"dc-sign, ionotropic glutamate receptor, oligopeptide, anopheles sinensis, c-type lectin, genome, receptor, subfamily"
Styliani A Geronikolou,"dc-sign, oligopeptide, c-type lectin"
R. Batista-Navarro,"scraper site, big data, implementation, disjoint sets"
Feng Huang,"scraper site, detection theory, bursectomy, self driving, thymectomy, big data, pandemic, 2019-20 coronavirus outbreak"
B. West,"female infertility, follicle-stimulating hormone receptor, genomic, big data, data analysis, pharmacogenomics, health, bloom filter"
I. Ullah,"female infertility, follicle-stimulating hormone receptor, genomic, pharmacogenomics"
Copenhagen,"female infertility, follicle-stimulating hormone receptor, genomic, pharmacogenomics"
S. Ahvar,"space-time adaptive processing, nosql, dynamic perfect hashing, universal hashing, databases, kernel (algebra), bloom filter, range query (database)"
M. Ahsan,"space-time adaptive processing, medical device, medical services, toilet, healthcare system, kernel (algebra)"
H. Gritsch,"particle system, continuous-time random walk, langevin equation, lévy flight, exponent"
R. Joshi,"particle system, continuous-time random walk, langevin equation, lévy flight, exponent"
N. Tsao,"female sex, cardiothoracic surgery, descending aorta, thoracic aortic aneurysm, thoracic aorta, presentation (obstetrics)"
J. Tugwood,"female sex, cardiothoracic surgery, descending aorta, thoracic aortic aneurysm, thoracic aorta, presentation (obstetrics)"
Marcel Dreger,"dothideomycetes, brca mutation, phylogenomics, genome, subfamily"
Ole Mors,"dothideomycetes, romp, phylogenomics, genome, subfamily, polystyrene"
E. Smith,"fusarium proliferatum, trichoderma viride, pathogenesis-related protein, jasmonic acid, chitinase"
Paromik Bhattacharyya,"fusarium proliferatum, antiparasitic agent, antiprotozoal, leishmania mexicana, trichoderma viride, amastigote, pathogenesis-related protein, chagas disease, jasmonic acid, chitinase"
W. Johnson,"addictive behavior, nicotine addiction, cyclic peptide, tetrapeptide, genomic, health, residue (chemistry)"
Haochao Ying,"addictive behavior, nicotine addiction, genomic, health, subfunctionalization"
Ravindara Bhatt,"application virtualization, storage virtualization, storage area network, converged storage"
Chengming Li,"application virtualization, storage virtualization, storage area network, converged storage"
B. Ouni,adjuvant chemotherapy
Yingce Xia,"binary data, identification, similarity (geometry), pandemic, 2019-20 coronavirus outbreak, similarity measure, iris recognition"
Han-Mo Chiu,"binary data, identification, similarity (geometry), similarity measure, iris recognition"
Moisés Rodríguez,"binary data, tumour tissue, computer applications, identification, similarity (geometry), similarity measure, iris recognition, tumour heterogeneity, liquid biopsy, tumor heterogeneity"
Chengsheng Gong,"paleopathology, mycobacterium tuberculosis complex, genomic, ancient dna"
Meiling Yang,"paleopathology, mycobacterium tuberculosis complex, genomic, ancient dna"
Kejiang Lin,"paleopathology, mycobacterium tuberculosis complex, spark (programming language), genomic, big data, ancient dna, benchmarking"
J. Juusola,"primary prevention, medical genetics, health"
F. Chauvigné,"primary prevention, medical genetics, health"
R. VÁZQUEZ-MARTÍNEZ,"primary prevention, medical genetics, health"
Chun-Wei Lin,"spatial contextual awareness, data security, cloud storage, contextual image classification, homomorphic encryption, data storage, cloud database"
D. Milojicic,"spatial contextual awareness, contextual image classification"
Ruonan Chen,"spatial contextual awareness, contextual image classification"
E. Blé-González,"candida infections, phospholipase d, bioorthogonal chemistry, second messenger system, cell signaling, antifungal drugs"
M. Lees,"candida infections, antifungal drugs"
D. Rahayu,"citrobacter, coliform bacteria, macconkey agar, klebsiella, udder, california mastitis test"
A. Heimbach,"citrobacter, coliform bacteria, macconkey agar, klebsiella, udder, california mastitis test"
M. Nørgaard,"rare events, boltzmann constant, langevin dynamics, langevin equation, gaussian noise"
Hassan Fakhrnabavi,"rare events, boltzmann constant, langevin dynamics, langevin equation, gaussian noise, association mapping"
Jinpeng Wang,"las vegas, enumeration"
Yue Zhao,"las vegas, enumeration"
P. Wise,"hsf1, heat shock factor"
P. Ndebele,"hsf1, heat shock factor"
M. Shaheen,"hsf1, heat shock factor"
Habibeh Nazif,geriatric care
C. Nugent,"geriatric care, sentiment analysis, mining, non-negative matrix factorization"
B. Qi,"content-addressable storage, steviol, rebaudioside a, memristor"
B. Kempisty,"content-addressable storage, memristor"
F. Suah,"glucose 6-phosphate, tetr, pseudomonas putida"
A. Lakkaraju,"glucose 6-phosphate, tetr, pseudomonas putida"
Panos Vassiliadis,"relational algebra, databases, defuzzification, associative property, multiset"
Hao Wang,"relational algebra, databases, defuzzification, associative property, multiset"
Xianlai Chen,"relational algebra, reset (finance), feature (linguistics), industrial control system, databases, cyber-physical system, defuzzification, associative property, multiset"
E. Krieger,"concerted evolution, macronucleus, genomic, human evolutionary genetics, pseudogene"
S. Kant,"concerted evolution, macronucleus, genomic, human evolutionary genetics, pseudogene"
N. Vora,"concerted evolution, macronucleus, genomic, human evolutionary genetics, pseudogene"
C. Phillips,"pax8, genomic, health, health professionals"
L. Cuniberti,pax8
F. Bagante,"pax8, hexagonal phase, microcrystalline, powder diffraction, peptidomimetic"
Baoping Xue,"sleep diary, sleep"
C. Belessi,"sleep diary, sleep"
Xiaobin Xu,"raid, compromise, differential privacy, data anonymization, data publishing, obfuscation, privacy software"
M. Rahaman,"raid, hamming distance"
Jagannath Mondal,"serine hydroxymethyltransferase, triticeae, disease"
R. D. de Vries,"serine hydroxymethyltransferase, perfluorooctane, triticeae, genomic, molecularly imprinted polymer, molecular, selective adsorption"
R. Agerri,"emotion perception, negative emotion"
Rhys Hill,"emotion perception, negative emotion"
Willow Coyote-Maestas,"qinghai lake, circulation (fluid dynamics), corona (planetary geology), 2019-20 coronavirus outbreak, genome, beta (programming language), alpha (finance), glycine soja"
Y. Kotb,"qinghai lake, dew, circulation (fluid dynamics), mist, consumption, component (thermodynamics), edge device, 2019-20 coronavirus outbreak, beta (programming language), alpha (finance)"
M. Resmini,"qinghai lake, circulation (fluid dynamics), 2019-20 coronavirus outbreak, beta (programming language), alpha (finance)"
M. Rahiman,"viewport, value (mathematics), provisioning, interface (matter)"
Prateeksha Varshney,viewport
Xiaokang Wang,viewport
Océane Dehan,"solvophobic, silanol, disease"
Xiaoyu Tang,"solvophobic, silanol"
T. Avidor-Reiss,"malachite green, predictive modelling, disease, molecularly imprinted polymer, aptamer, health, nanoclusters"
S. Thibodeau,"malachite green, molecularly imprinted polymer, aptamer, nanoclusters"
Eun-Young Kim,"malachite green, molecularly imprinted polymer, aptamer, health, visibility, nanoclusters"
Ilaria Chillotti,"penetration (warfare), unexploded ordnance, quality control, test strategy"
F. Santoro,"penetration (warfare), test strategy"
Sheng Wang,"penetration (warfare), test strategy"
Md. Manirul Islam,"riboswitch, functional diversity, adaptability, genome-wide association study, genetic architecture, pleiotropy"
Ping Liu,"riboswitch, summit, white paper, functional diversity, adaptability"
R. Najnin,"riboswitch, antiparallel (mathematics), functional diversity, dbsnp, adaptability, mendelian inheritance, inheritance"
G. Batra,"myr, lineage (genetic)"
Annick Waldt,"myr, lineage (genetic), risk stratification, clinical phenotype"
Yiyang Wang,"sodium hydroxide, base (topology), synthesis"
Tigran M. Abramyan,"sodium hydroxide, constrained clustering, conceptual clustering, base (topology), consensus clustering, clustering high-dimensional data, health, synthesis, data stream clustering, health professionals"
N. Papo,"sodium hydroxide, base (topology), synthesis"
A. Dilthey,"intestinal metaplasia, foveolar cell, atrophic gastritis, diagnosis"
S. Cao,"intestinal metaplasia, foveolar cell, atrophic gastritis, host factors, diagnosis, coronavirus"
A. S. Abdel-Moneim,"stenotrophomonas, stenotrophomonas maltophilia, cloning (programming)"
Yao Dai,"stenotrophomonas, stenotrophomonas maltophilia, cloning (programming)"
S. Blanck,"stenotrophomonas, stenotrophomonas maltophilia, cloning (programming)"
Pieter Monsieurs,"monozygotic twin, identical twins, mendelian inheritance"
Erkin Kuru,"monozygotic twin, identical twins, mendelian inheritance"
P. Becerra,"smith–waterman algorithm, substring, alignment-free sequence analysis, multiple sequence alignment, sequence (biology)"
B. Doble,"smith–waterman algorithm, substring, alignment-free sequence analysis, multiple sequence alignment, sequence (biology)"
Kate M. Durda,"bioequivalence, ursodeoxycholic acid"
N. Gregory,"bioequivalence, ursodeoxycholic acid, nidovirales, betacoronavirus, coronavirus, viral protein"
M. Lorenzo,"bioequivalence, ursodeoxycholic acid, genomic, disease, pharmacogenomics, drug development"
Y. Seok,"voucher, disease"
J. Samaria,"voucher, disease"
T. Hoang,"oligosaccharide, diethylenetriaminepentaacetic acid, molecular, conjugate, mri contrast agent"
Vicki S. Hertzberg,"oligosaccharide, dialogic, social exchange theory, feature (linguistics), data set, big data, diethylenetriaminepentaacetic acid, chatbot, molecular, conjugate, customer satisfaction, bridge (graph theory), mri contrast agent"
Tauqeer Faiz,"diarrheal diseases, food poisoning, food microbiology, cereus"
F. Pignoni,"diarrheal diseases, food poisoning, polyproteins, food microbiology, federated learning, data aggregator, mnist database, transcription, viral protein, cereus, initialization"
I. M. A. Jawarneh,"diarrheal diseases, food poisoning, food microbiology, cereus"
Dileep Kumar,"disk formatting, genome browser, upload, subnetwork, genomic, disease, personal genomics"
Martín Martínez,"disk formatting, subnetwork, disease"
L. Priest,"disk formatting, subnetwork, disease"
Lei Yu,"performance metric, predictive modelling, health"
A. Campbell,"performance metric, data processing, predictive modelling, consumption, health, modularity"
K. C. Ng,"performance metric, predictive modelling, health"
L. Allen,"lentinula, abts, pleurotus ostreatus, nutraceutical, pleurotus"
P. Rida,"lentinula, abts, pleurotus ostreatus, nutraceutical, pleurotus"
S. Gruttadauria,"lentinula, abts, pleurotus ostreatus, nutraceutical, pleurotus"
Y. Lévy,"mineralocorticoid, proopiomelanocortin"
Hui Xu,"mineralocorticoid, proopiomelanocortin"
D. Rothwell,"cyclin-dependent kinase 6, plasmodium (life cycle)"
Yali Zhao,"cyclin-dependent kinase 6, bioacoustics, human echolocation, bat algorithm"
Jérémie Prévost,"xrcc1, discriminative model"
Huadong Tang,"xrcc1, disease, icon, hyperparameter, discriminative model"
B. Brindefalk,"xrcc1, genomic, health, population health, population genomics, discriminative model"
Andrew W. Thompson,"apiaceae, glume, stripe rust, daucus carota, coriandrum, genomic, common wheat"
A. Plichta,"apiaceae, daucus carota, coriandrum, genomic"
Kenneth Chen,"apiaceae, daucus carota, coriandrum, macrophomina phaseolina, genomic, genome-wide association study, candidate gene, genetic architecture, germ plasm"
S. Schubert-Bast,"separation method, ornithine transcarbamylase, hyperammonemia, separation (statistics), penetrance"
G. Chowdhury,"separation method, separation (statistics), open biomedical ontologies, arachis hypogaea, medicago truncatula"
Evangelos Bellos,"separation method, phenylboronic acid, separation (statistics), boronic acid, proton nmr"
Yaqi Luo,"gain of function, pandemic"
D. Schmale,"gain of function, lactoferrin, pandemic, residue (chemistry)"
Azadeh Lohrasbi‐Nejad,"gain of function, pandemic"
T. Chenal,"growing season, coriandrum, stomatal conductance, data sharing, health, drought tolerance"
L. Karaviti,"growing season, coriandrum, stomatal conductance, drought tolerance"
Chia-Ling Kuo,"psychotropic drug, recreational use, recreational drug, designer drug"
Mei-Lin Yang,"psychotropic drug, recreational use, recreational drug, designer drug"
A. Zhang,"psychotropic drug, recreational use, recreational drug, designer drug"
Jun Chen,percidae
F. Wightman,"percidae, relevance, equity"
A. Wester,"response element, stereocenter, synthesis, subfamily, myb, wrky protein domain"
J. B. Reid,"response element, subfamily, myb, wrky protein domain"
W. Hamilton,"cetylpyridinium chloride, upload, big data, indexing, access method"
A. Alarood,"cetylpyridinium chloride, economic shortage, python"
M. Schultz,"cetylpyridinium chloride, disease, pandemic"
A. Moreno-De-Luca,"polyethylenimine, biopharmaceutical, thermostability, protein engineering, biocompatibility"
Nothasin Phommavanh,"polyethylenimine, biocompatibility"
Fei Wu,"private network, retransmission"
S. You,"private network, retransmission"
C. Brown,"threading (protein sequence), original research, xylella fastidiosa, section (typography), disease, molecular, chirality"
Qian-liang Ming,"threading (protein sequence), molecular, chirality"
Joanna Drzeżdżon,"slco1b1, genomic"
Michael J. Heiferman,"slco1b1, hepatocyte nuclear factors, genomic, hnf1b, glucokinase, hnf1a"
Weiwei Wu,"chemical reduction, pandemic, pathogenesis, viral pathogenesis, genome-wide association study, genetic association, receptor, immunosuppression, genetic predisposition"
M. Marre,chemical reduction
G. Diao,"chemical reduction, cleavage (geology)"
Jorge G. Barbosa,"electronic trading, market mechanism, trading strategy, transient (computer programming), double auction, market data, spark (programming language), leakage (economics)"
M. Maimaiti,"electronic trading, market mechanism, trading strategy, double auction, market data"
Shaojing Fu,"mpsoc, arm architecture, critical path method, kernel (algebra)"
M. Kiran,"mpsoc, data recovery, arm architecture, data deduplication, cloud storage, critical path method, kernel (algebra), backup software"
Jicong Fan,"mpsoc, motif (music), posttranslational modification, arm architecture, bioinorganic, critical path method, kernel (algebra), bioinorganic chemistry"
E. O’Brien,"bulk tank, acridine orange, cell counting, microscope slide, bovine milk, point-of-care testing, point of care, somatic cell count, enumeration, moiety, linker, sample preparation"
K. Burgess,"bulk tank, acridine orange, cell counting, microscope slide, bovine milk, point-of-care testing, point of care, somatic cell count, enumeration, gnrhr, sample preparation"
Jen-Chywan Wang,"transcytosis, infectivity"
T. Markova,"transcytosis, segmentation-based object categorization, benchmark (surveying), infectivity"
J. Bai,"two-photon excitation microscopy, signal (programming language), linker, angiotensin-converting enzyme 2, respiratory tract"
Jingsong Zhao,"two-photon excitation microscopy, microtubule-associated protein, metadynamics, signal (programming language), antigenicity, drug repositioning, repurposing, linker, spike protein"
Hechuan Yang,"two-photon excitation microscopy, signal (programming language), linker"
Minshan Qiu,"ceratophyllum demersum, hydrilla, hydrocharitaceae"
Marcela Sandoval-Velasco,"ceratophyllum demersum, hydrilla, hydrocharitaceae"
B. Goh,"singleton, identification, exome, sanger sequencing, proband"
Amal Kahla,"singleton, exome, sanger sequencing, proband"
Erin E. Young,"video game, photo elicitation, public health interventions, health, thematic analysis"
Ruifeng Liu,"video game, photo elicitation, lookup table, public health interventions, demethylating agent, table (database), exome, health, cpg site, transcription, thematic analysis"
Nurettin Çanakoğlu,"gourd, lagenaria, bottle gourd, identification, adapter molecule crk, robustness, biomarker discovery"
David P. Oviatt,"gourd, lagenaria, bottle gourd, identification, adapter molecule crk, edge device, building automation"
F. A. Oliveira,"gas5, xist, hotair, bcl6"
Nándor Ács,"gas5, xist, hotair, bcl6"
R. Buffa,"gas5, welsh, xist, lipid droplet, hotair, antimicrobial stewardship, disease, health, safeguarding, bcl6, metabolic pathway, best practice"
Stephanie Kucykowicz,betaine
